pid,group,matrix_name,condition,response
56,AI,FAVvsMJP,together,3
56,AI,FAVvsMJP,together,4
56,AI,MDvsMIP/MJP,together,0
56,AI,MDvsMIP/MJP,together,0
56,AI,FAVvsP,together,0
56,AI,FAVvsMJP,opposed,7
56,AI,FAVvsP,opposed,7
57,AI,FAVvsMJP,opposed,1
57,AI,FAVvsP,opposed,9
57,AI,FAVvsP,together,6
57,AI,MDvsMIP/MJP,together,4
57,AI,FAVvsMJP,together,9
57,AI,FAVvsMJP,opposed,8
57,AI,FAVvsP,opposed,9
57,AI,MDvsMIP/MJP,opposed,3
57,AI,MDvsMIP/MJP,together,10
57,AI,FAVvsP,together,3
57,AI,MDvsMIP/MJP,opposed,7
57,AI,FAVvsMJP,together,2
58,AI,FAVvsP,together,12
58,AI,FAVvsMJP,opposed,0
58,AI,FAVvsP,opposed,1
58,AI,FAVvsP,opposed,2
58,AI,FAVvsMJP,together,12
58,AI,MDvsMIP/MJP,opposed,0
58,AI,FAVvsMJP,opposed,0
58,AI,FAVvsP,together,1
58,AI,MDvsMIP/MJP,together,12
58,AI,MDvsMIP/MJP,together,12
58,AI,MDvsMIP/MJP,opposed,12
58,AI,FAVvsMJP,together,12
59,AI,FAVvsMJP,together,8
59,AI,FAVvsMJP,opposed,5
59,AI,FAVvsMJP,together,5
59,AI,FAVvsMJP,opposed,4
59,AI,FAVvsP,opposed,6
59,AI,FAVvsP,together,10
59,AI,FAVvsP,together,11
59,AI,MDvsMIP/MJP,together,6
59,AI,MDvsMIP/MJP,opposed,10
59,AI,MDvsMIP/MJP,opposed,11
59,AI,FAVvsP,opposed,6
59,AI,MDvsMIP/MJP,together,6
60,AI,FAVvsP,opposed,9
60,AI,MDvsMIP/MJP,opposed,0
60,AI,FAVvsP,together,0
60,AI,FAVvsP,together,0
60,AI,MDvsMIP/MJP,together,3
60,AI,FAVvsMJP,opposed,9
60,AI,FAVvsMJP,together,6
60,AI,MDvsMIP/MJP,opposed,1
60,AI,FAVvsMJP,opposed,10
60,AI,FAVvsP,opposed,9
60,AI,MDvsMIP/MJP,together,0
