pid,group,condition,pull
444,Human,MDvsMIP/MJP,-4
444,Human,FAVvsP,9
445,Human,FAVvsMJP,5
445,Human,MDvsMIP/MJP,3
445,Human,FAVvsP,10.5
446,Human,FAVvsMJP,6.5
446,Human,MDvsMIP/MJP,-2.5
446,Human,FAVvsP,6.5
447,Human,FAVvsMJP,6
447,Human,MDvsMIP/MJP,-1
447,Human,FAVvsP,12
448,Human,FAVvsMJP,3
448,Human,MDvsMIP/MJP,1
448,Human,FAVvsP,6.5
449,Human,FAVvsMJP,8
449,Human,MDvsMIP/MJP,-1
449,Human,FAVvsP,8.5
