pid,group,matrix_name,together,opposed,pull
160,Human,MDvsMIP/MJP,0,0,0
160,Human,FAVvsP,0,12,12
161,Human,FAVvsMJP,5,5,0
161,Human,MDvsMIP/MJP,5,9.5,4.5
161,Human,FAVvsP,7,5,-2
162,Human,FAVvsMJP,2.5,1.5,-1
162,Human,MDvsMIP/MJP,7.5,7.5,0
162,Human,FAVvsP,9,2,-7
163,Human,FAVvsMJP,3,9,6
163,Human,MDvsMIP/MJP,0,0,0
163,Human,FAVvsP,0,0,0
164,Human,FAVvsMJP,6,6,0
164,Human,MDvsMIP/MJP,4.5,6,1.5
164,Human,FAVvsP,1.5,2.5,1
165,Human,FAVvsMJP,8,6,-2
165,Human,MDvsMIP/MJP,6.5,6.5,0
165,Human,FAVvsP,4,7,3
166,Human,FAVvsMJP,3,10.5,7.5
166,Human,MDvsMIP/MJP,2,4.5,2.5
166,Human,FAVvsP,0,3.5,3.5
167,Human,FAVvsMJP,10,1,-9
167,Human,MDvsMIP/MJP,10.5,7,-3.5
167,Human,FAVvsP,6,4.5,-1.5
168,Human,FAVvsMJP,8,0,-8
168,Human,MDvsMIP/MJP,3,12,9
168,Human,FAVvsP,6,0,-6
169,Human,FAVvsMJP,1.5,9.5,8
169,Human,MDvsMIP/MJP,0,0,0
169,Human,FAVvsP,0,7.5,7.5
170,Human,FAVvsMJP,0,8.5,8.5
170,Human,MDvsMIP/MJP,7.5,6,-1.5
170,Human,FAVvsP,6.5,7.5,1
171,Human,FAVvsMJP,6,6,0
171,Human,MDvsMIP/MJP,6,6,0
171,Human,FAVvsP,0,0,0
172,Human,FAVvsMJP,5.5,6.5,1
172,Human,MDvsMIP/MJP,4,6,2
172,Human,FAVvsP,5,5.5,0.5
173,Human,FAVvsMJP,6,6,0
173,Human,MDvsMIP/MJP,0,0,0
173,Human,FAVvsP,0,0,0
174,Human,FAVvsMJP,3,9,6
174,Human,MDvsMIP/MJP,3,6,3
174,Human,FAVvsP,0,0,0
175,Human,FAVvsMJP,8,8,0
175,Human,MDvsMIP/MJP,4,4,0
175,Human,FAVvsP,4,8,4
176,Human,FAVvsMJP,4.5,5,0.5
176,Human,MDvsMIP/MJP,7,7.5,0.5
176,Human,FAVvsP,5.5,4.5,-1
177,Human,FAVvsMJP,5,7,2
177,Human,MDvsMIP/MJP,3,8,5
177,Human,FAVvsP,0,1.5,1.5
178,Human,FAVvsMJP,5.5,8.5,3
178,Human,MDvsMIP/MJP,2.5,5.5,3
178,Human,FAVvsP,4.5,9.5,5
